id,clause_id,section,predicate,roles,source_method,priority_score,review_status,clause,annotator_notes
c0001-p001,1,,"{""text"": ""made"", ""lemma"": ""make"", ""start"": 18, ""end"": 22, ""needs_fix"": false}","[{""label"": ""Theme"", ""text"": ""This Agreement"", ""start"": 0, ""end"": 14, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""June 21, 1999"", ""start"": 29, ""end"": 42, ""needs_fix"": false}, {""label"": ""ContractParties"", ""text"": ""I-ESCROW, INC."", ""start"": 81, ""end"": 95, ""needs_fix"": false}, {""label"": ""ContractParties"", ""text"": ""2THEMART.COM, INC."", ""start"": 218, ""end"": 236, ""needs_fix"": false}]",transformer_srl+legal_rules,10,needs_review,"This Agreement is made as of June 21, 1999 (the ""Effective Date"") by and between I-ESCROW, INC., with its principal place of business at 1730 S. Amphlett Blvd., Suite 233, San Mateo, California 94402 (""i-Escrow""), and 2THEMART.COM, INC. having its principal place of business at 18301 Von Karman Avenue, 7th Floor, Irvine, California 92612 (""2TheMart"").",
c0002-p001,2,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 14, ""end"": 19, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""CONTENT"", ""start"": 5, ""end"": 12, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""all content or information, in any medium, provided by a party to the other party for use in conjunction with the performance of its obligations hereunder, including without limitation any text, music, sound, photographs, video, graphics, data or software."", ""start"": 20, ""end"": 276, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(a) ""CONTENT"" means all content or information, in any medium, provided by a party to the other party for use in conjunction with the performance of its obligations hereunder, including without limitation any text, music, sound, photographs, video, graphics, data or software.",
c0003-p001,3,1 DEFINITIONS,"{""text"": ""referred"", ""lemma"": ""refer"", ""start"": 32, ""end"": 40, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""2TheMart"", ""start"": 20, ""end"": 28, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""Content"", ""start"": 0, ""end"": 7, ""needs_fix"": false}]",transformer_srl+legal_rules,2,needs_review,"Content provided by 2TheMart is referred to herein as ""2TheMart Content"" and Content provided by i-Escrow is referred to herein as ""i-Escrow Content.""",
c0004-p001,4,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 22, ""end"": 27, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""CO-BRANDED SITE"", ""start"": 5, ""end"": 20, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""the web-site accessible through Domain Name, for the Services implemented by i-Escrow."", ""start"": 28, ""end"": 114, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(b) ""CO-BRANDED SITE"" means the web-site accessible through Domain Name, for the Services implemented by i-Escrow.",
c0005-p001,5,1 DEFINITIONS,"{""text"": ""display"", ""lemma"": ""display"", ""start"": 43, ""end"": 50, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""The homepage"", ""start"": 0, ""end"": 12, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""both 2TheMart Marks and i-Escrow Marks"", ""start"": 51, ""end"": 89, ""needs_fix"": false}]",transformer_srl+legal_rules,2,needs_review,The homepage of this web-site will visibly display both 2TheMart Marks and i-Escrow Marks.,
c0006-p001,6,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 16, ""end"": 21, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""CUSTOMERS"", ""start"": 5, ""end"": 14, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""all users who access Co-Branded Site."", ""start"": 22, ""end"": 59, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(c) ""CUSTOMERS"" means all users who access Co-Branded Site.",
c0007-p001,7,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 18, ""end"": 23, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""DOMAIN NAME"", ""start"": 5, ""end"": 16, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""www.iescrow.com/2TheMart."", ""start"": 24, ""end"": 49, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(d) ""DOMAIN NAME"" means www.iescrow.com/2TheMart.",
c0008-p001,8,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 22, ""end"": 27, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""ESCROW SERVICES"", ""start"": 5, ""end"": 20, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""services for auction sellers and high bidders whereby an agent holds a buyer's money in trust until the buyer approves the applicable item that was physically delivered, at which time the agent releases the buyer's money to seller, after subtracting the escrow fees."", ""start"": 28, ""end"": 294, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(e) ""ESCROW SERVICES"" means services for auction sellers and high bidders whereby an agent holds a buyer's money in trust until the buyer approves the applicable item that was physically delivered, at which time the agent releases the buyer's money to seller, after subtracting the escrow fees.",
c0009-p001,9,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 37, ""end"": 42, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""INFORMATION TRANSFER MECHANISM"", ""start"": 5, ""end"": 35, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""the mechanism by which 2TheMart transfers to i-Escrow information to populate the applicable i-Escrow transaction and user registration forms."", ""start"": 43, ""end"": 185, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(f) ""INFORMATION TRANSFER MECHANISM"" means the mechanism by which 2TheMart transfers to i-Escrow information to populate the applicable i-Escrow transaction and user registration forms.",
c0010-p001,10,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 18, ""end"": 23, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""LAUNCH DATE"", ""start"": 5, ""end"": 16, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""the first date on which the Co-Branded Site is pointed to in all references to i-Escrow from 2TheMart auction site."", ""start"": 24, ""end"": 139, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(g) ""LAUNCH DATE"" means the first date on which the Co-Branded Site is pointed to in all references to i-Escrow from 2TheMart auction site.",
